Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-01-02 05:30:44,32.3182,-86.9023,365747,4872,202137.0,158738.0,1.0,7459.375895463867,1885216.0,,1.3320683423240656,84000001.0,USA,38448.80419564018,,,
Alaska,US,2021-01-02 05:30:44,61.3707,-152.4044,46986,206,7165.0,39615.0,2.0,6422.844801071706,1275750.0,,0.4384284680543141,84000002.0,USA,174391.1857780451,,,
American Samoa,US,2021-01-02 05:30:44,-14.271,-170.132,0,0,,0.0,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,,
Arizona,US,2021-01-02 05:30:44,33.7298,-111.4312,530267,9015,76934.0,444318.0,4.0,7285.171274003372,5155330.0,,1.7000869373353424,84000004.0,USA,39551.860582022906,,,
Arkansas,US,2021-01-02 05:30:44,34.9697,-92.3731,229442,3711,199247.0,26484.0,5.0,7602.945718144717,2051488.0,,1.6174022192972517,84000005.0,USA,67979.49767446793,,,
California,US,2021-01-02 05:30:44,36.1162,-119.6816,2365024,26363,,2309915.0,6.0,5912.603297465698,33058311.0,,1.1251600354592777,84000006.0,USA,83666.03670970372,,,
Colorado,US,2021-01-02 05:30:44,39.0598,-105.3111,337161,4873,18102.0,314186.0,8.0,5854.774381044729,4444206.0,,1.4453035790023163,84000008.0,USA,77173.28941628858,,,
Connecticut,US,2021-01-02 05:30:44,41.5978,-72.7554,185708,5995,9800.0,169913.0,9.0,5208.781228551867,4320693.0,,3.2281861847631768,84000009.0,USA,121187.80339422885,,,
Delaware,US,2021-01-02 05:30:44,39.3185,-75.5071,58064,1065,18851.0,38283.0,10.0,5962.841099075341,984606.0,,1.6016809038302562,84000010.0,USA,101113.41146314712,,,
Diamond Princess,US,2021-01-02 05:30:44,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,,,
District of Columbia,US,2021-01-02 05:30:44,38.8974,-77.0268,29252,788,20941.0,7523.0,11.0,4144.816358223675,904302.0,,2.6938329003145083,84000011.0,USA,128133.65658328951,,,
Florida,US,2021-01-02 05:30:44,27.7663,-81.6868,1323315,21673,,1301642.0,12.0,6161.333477544677,15703599.0,,1.6377808760574768,84000012.0,USA,73115.70581202293,,,
Georgia,US,2021-01-02 05:30:44,33.0406,-83.6431,677589,10958,,666631.0,13.0,6381.859326881861,5401054.0,,1.6172045295894708,84000013.0,USA,50869.726109621886,,,
Grand Princess,US,2021-01-02 05:30:44,,,103,3,,100.0,99999.0,,,,2.912621359223301,84099999.0,USA,,,,
Guam,US,2021-01-02 05:30:44,13.4443,144.7937,7326,122,7047.0,157.0,66.0,4460.844308861407,96201.0,,1.6653016653016652,316.0,GUM,58577.35235555231,,,
Hawaii,US,2021-01-02 05:30:44,21.0943,-157.4983,22397,289,11958.0,9775.0,15.0,1555.366586810107,816811.0,,1.3123240395967668,84000015.0,USA,57689.60753514442,,,
Idaho,US,2021-01-02 05:30:44,44.2405,-114.4788,141077,1436,58649.0,80992.0,16.0,7894.34072067888,545485.0,,1.0178838506631132,84000016.0,USA,30524.071592247623,,,
Illinois,US,2021-01-02 05:30:44,40.3495,-88.9861,963389,17978,,945411.0,17.0,7602.6089699341555,13374665.0,,1.866120539055356,84000017.0,USA,105546.5114287836,,,
Indiana,US,2021-01-02 05:30:44,39.8494,-86.2583,517773,9468,345474.0,163928.0,18.0,7690.970837401457,5730043.0,,1.6167316565367449,84000018.0,USA,85113.7344165423,,,
Iowa,US,2021-01-02 05:30:44,42.0115,-93.2105,282980,3898,241229.0,37853.0,19.0,8969.056154063142,1174406.0,,1.3774825075977102,84000019.0,USA,37222.81914505859,,,
Kansas,US,2021-01-02 05:30:44,38.5266,-96.7265,230108,2872,4612.0,222819.0,20.0,7905.189759840511,1012506.0,,1.2470527956648416,84000020.0,USA,34754.441162195355,,,
Kentucky,US,2021-01-02 05:30:44,37.6681,-84.6701,265261,2623,36740.0,225898.0,21.0,5937.341430315066,3148606.0,,0.9888374091932096,84000021.0,USA,70475.30112432133,,,
Louisiana,US,2021-01-02 05:30:44,31.1695,-91.8678,315275,7488,263712.0,44075.0,22.0,6781.866436757577,4214182.0,,2.375069383871224,84000022.0,USA,90651.08068888405,,,
Maine,US,2021-01-02 05:30:44,44.6939,-69.3819,24902,352,11374.0,13176.0,23.0,1852.535165584,1111413.0,,1.4135410810376676,84000023.0,USA,82681.37763983657,,,
Maryland,US,2021-01-02 05:30:44,39.0639,-76.8021,280219,5942,9358.0,264919.0,24.0,4635.028648555663,5761534.0,,2.1204843354661893,84000024.0,USA,95300.01587910709,,,
Massachusetts,US,2021-01-02 05:30:44,42.2302,-71.5301,375178,12423,261672.0,101083.0,25.0,5443.276557152025,10944699.0,,3.3112282703143574,84000025.0,USA,158791.3563476142,,,
Michigan,US,2021-01-02 05:30:44,43.3266,-84.5361,528621,13018,318389.0,197214.0,26.0,5293.166809137249,8113075.0,,2.462633909738736,84000026.0,USA,81237.52047315787,,,
Minnesota,US,2021-01-02 05:30:44,45.6945,-93.9002,415302,5382,397080.0,12840.0,27.0,7363.9911256621,5351379.0,,1.2959244116329804,84000027.0,USA,94888.79770878667,,,
Mississippi,US,2021-01-02 05:30:44,32.7416,-89.6787,218386,4816,167263.0,46307.0,28.0,7337.871860582249,1346044.0,,2.2052695685620867,84000028.0,USA,45227.70869334835,,,
Missouri,US,2021-01-02 05:30:44,38.4561,-92.2884,445019,5747,397080.0,4684.0,29.0,6639.214341903481,3665980.0,,1.402042323861224,84000029.0,USA,59731.53575080637,,,
Montana,US,2021-01-02 05:30:44,46.9219,-110.4544,81555,961,74991.0,5603.0,30.0,7630.677278162537,791589.0,,1.1783459015388391,84000030.0,USA,74064.86660466438,,,
Nebraska,US,2021-01-02 05:30:44,41.1254,-98.2681,167716,1668,107694.0,58354.0,31.0,8670.146111885393,1755820.0,,0.994538386319731,84000031.0,USA,90767.82147302949,,,
Nevada,US,2021-01-02 05:30:44,38.3135,-117.0554,227046,3143,,223903.0,32.0,7371.250027596005,2095778.0,,1.3843009786563076,84000032.0,USA,68041.29401238119,,,
New Hampshire,US,2021-01-02 05:30:44,43.4525,-71.5639,45932,759,37350.0,5919.0,33.0,3238.0410248942608,1032929.0,,1.7239029708367402,84000033.0,USA,75966.80471070691,,,
New Jersey,US,2021-01-02 05:30:44,40.2989,-74.521,535043,19160,56109.0,407592.0,34.0,5436.2831689031655,7792714.0,,3.968015640111751,84000034.0,USA,87734.15114966016,,,
New Mexico,US,2021-01-02 05:30:44,34.8405,-106.2485,144142,2502,66638.0,75002.0,35.0,6874.284932152312,1983507.0,,1.7357883198512578,84000035.0,USA,94595.5535716074,,,
New York,US,2021-01-02 05:30:44,42.1657,-74.9481,995816,38155,102968.0,854693.0,36.0,5118.939406517912,25504313.0,,3.8315311262321554,84000036.0,USA,131103.5701895401,,,
North Carolina,US,2021-01-02 05:30:44,35.6301,-79.8064,539545,6748,403488.0,129309.0,37.0,5144.361925400292,6944103.0,,1.2506834462371073,84000037.0,USA,66209.45255587198,,,
North Dakota,US,2021-01-02 05:30:44,47.5289,-99.784,92770,1316,89314.0,2147.0,38.0,12173.550183580865,1277930.0,,1.4110164924005606,84000038.0,USA,167693.70471169017,,,
Northern Mariana Islands,US,2021-01-02 05:30:44,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,,
Ohio,US,2021-01-02 05:30:44,40.3888,-82.7649,700380,13604,556106.0,135312.0,39.0,5991.735890701594,7752314.0,,1.279591079128473,84000039.0,USA,66320.88013619526,,,
Oklahoma,US,2021-01-02 05:30:44,35.5653,-96.9289,290936,2489,255843.0,32604.0,40.0,7352.492601032456,2685254.0,,0.8555146148981221,84000040.0,USA,67861.35152367808,,,
Oregon,US,2021-01-02 05:30:44,44.572,-122.0709,113909,1477,5870.0,106562.0,41.0,2700.713676552142,2652670.0,,1.2966490795283954,84000041.0,USA,62893.20552703974,,,
